model,seed,arm,phase,evaluation_set,family,depth,score_key,method,target_control,tasks,rows,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,positional,minus_bias_only,200,200,0.04946194147150677,0.009285835152793211,0.015,0.055,0.13,0.26,0.59,0.855,1.0,0.009285835152793211,0.04127766753667103,0.05891856201742394,0.08025771849790785,0.1058233165546509,0.12575176861260232,0.13666393478936065
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,positional,shuffled_program_bias,200,200,0.07257648496435484,0.02569380004941941,0.03,0.11,0.21,0.39,0.71,0.905,1.0,0.02569380004941941,0.03420560972105257,0.03723373156670486,0.04142766540364447,0.047529962007129764,0.053168339828545956,0.056614206518531385
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,bigram,own_target,200,200,0.06714060139019297,0.01527249017251718,0.015,0.115,0.21,0.425,0.725,0.925,1.0,0.015272490172517184,0.08117857591629721,0.12302443140188318,0.1779434641766666,0.24834056505013455,0.300969781784635,0.32905070063760034
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,bigram,minus_bias_only,200,200,0.03600104677512042,0.005332552731685436,0.0,0.035,0.115,0.26,0.575,0.86,1.0,0.005332552731685436,0.03510093152373729,0.05836453380783715,0.08820579711479005,0.12274511462221646,0.14678558120500657,0.1590701666691152
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,bigram,shuffled_program_bias,200,200,0.06917336814098508,0.02593018192295748,0.025,0.105,0.19,0.4,0.73,0.905,1.0,0.02593018192295748,0.031065995670828687,0.0325553827487047,0.034919334060614926,0.03907228237596203,0.04303133766573149,0.045427762366494324
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,positional_bigram,own_target,200,200,0.06714060139019297,0.015272490172517226,0.015,0.115,0.21,0.425,0.725,0.925,1.0,0.015272490172517226,0.0811785759162974,0.1230244314018834,0.17794346417666695,0.24834056505013494,0.30096978178463546,0.3290507006376008
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,positional_bigram,minus_bias_only,200,200,0.03600104677512042,0.0053325527316854275,0.0,0.035,0.115,0.26,0.575,0.86,1.0,0.0053325527316854275,0.03510093152373732,0.05836453380783731,0.08820579711479044,0.12274511462221716,0.14678558120500737,0.15907016666911614
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,positional_bigram,shuffled_program_bias,200,200,0.06917336814098508,0.025930181922957495,0.025,0.105,0.19,0.4,0.73,0.905,1.0,0.025930181922957495,0.03106599567082868,0.03255538274870468,0.034919334060614884,0.039072282375961956,0.043031337665731396,0.04542776236649422
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,full,own_target,200,200,0.06404539420262073,0.013916139518235775,0.005,0.125,0.245,0.43,0.75,0.93,1.0,0.013916139518235775,0.09196855227254307,0.15461072063811157,0.23759415771849163,0.3319954511208538,0.3935403678191143,0.4237166233159158
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,full,minus_bias_only,200,200,0.0356424072169456,0.006726676275509691,0.0,0.04,0.12,0.285,0.585,0.875,1.0,0.006726676275509691,0.045455851220879084,0.07680332589661497,0.11662935587327895,0.1584573582418142,0.18543660306614296,0.19946496887942203
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,full,shuffled_program_bias,200,200,0.06790941852930497,0.0246970518154572,0.025,0.095,0.185,0.37,0.74,0.905,1.0,0.0246970518154572,0.027330094753110445,0.029233883617722327,0.032173470182624404,0.0361714126683172,0.03934841557557252,0.041162966424117944
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,train_frequency,task_blind,200,200,0.07661139764621193,0.022584761904761903,0.015,0.1475,0.273,0.605,0.87125,1.0,1.0,0.022584761904761903,0.1632201000493237,0.2928084959791996,0.48125881257170655,0.6964288627361668,0.8187367236456996,0.8692977157523072
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,train_antifrequency,task_blind,200,200,0.014179615320010273,0.0011873236021688425,0.0,0.0,0.0,0.0,0.3766666666666667,0.8457142857142855,1.0,0.0011873236021688425,0.009447212271611634,0.018778073417212424,0.03709755052038183,0.07241363541682257,0.11014106533919668,0.13516137344557785
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,train_unseen_first,task_blind,200,200,0.0139427801280884,0.008944282379610966,0.0,0.0,0.0,0.0,0.358549947234824,0.8043575934481997,1.0,0.008944282379610966,0.06872441286090299,0.13140809649694923,0.24108764878545877,0.4111741170609642,0.5472500862783856,0.6182362794937434
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,raw,own_target,200,200,0.022749179005868855,0.00017696724365199836,0.0,0.0,0.05,0.235,0.54,0.725,1.0,0.00017696724365199836,0.0013581425248589604,0.0025938170474743517,0.004750273742063158,0.008095959996075588,0.010822653006251404,0.012304273807896142
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,unigram,own_target,200,200,0.06291141461133973,0.017905391315459717,0.01,0.135,0.18,0.28,0.495,0.77,1.0,0.017905391315459717,0.07502197957526824,0.09939694066920385,0.1212606822495054,0.1414260047163327,0.15318195863321088,0.15837500095789633
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,unigram,minus_bias_only,200,200,0.05450598938217681,0.0052833980493645115,0.0,0.135,0.275,0.485,0.725,0.75,1.0,0.0052833980493645115,0.034014546680896825,0.05579976671657061,0.08414286459102543,0.1204771369394977,0.14860475491652567,0.16359332809721835
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,unigram,shuffled_program_bias,200,200,0.04300369769709048,0.0020736333354229187,0.0,0.085,0.135,0.245,0.435,0.795,1.0,0.0020736333354229187,0.00976576956890991,0.013683424206651494,0.018581381279638882,0.025562536386107667,0.03155758590830662,0.034939514779420734
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,positional,own_target,200,200,0.05824799764349214,0.013814021842212509,0.01,0.115,0.18,0.295,0.55,0.825,1.0,0.013814021842212509,0.07000798653833584,0.10178866418468459,0.13665034637705414,0.17470413324810305,0.20250363140991026,0.21776895495496576
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,positional,minus_bias_only,200,200,0.07222933053386899,0.019390937876890176,0.0,0.1,0.31,0.43,0.535,0.935,1.0,0.019390937876890176,0.09462457905217408,0.1346523192876833,0.18604941904948213,0.2525369295984342,0.29949816874248525,0.322744588730086
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,positional,shuffled_program_bias,200,200,0.04199722145742285,0.002693824860416484,0.0,0.08,0.205,0.27,0.56,0.755,1.0,0.002693824860416484,0.013498888278488575,0.019131227807624777,0.025481219913153944,0.03363611909256176,0.040463653386676325,0.04442570729018222
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,bigram,own_target,200,200,0.06475384334047994,0.015084887316381463,0.005,0.135,0.185,0.35,0.625,0.9,1.0,0.015084887316381461,0.08297495361673926,0.12380956096728585,0.16979724472403668,0.2217807026075972,0.25988094730403816,0.28044500867943806
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,bigram,minus_bias_only,200,200,0.10897679833709492,0.026297961419062165,0.065,0.2,0.34,0.465,0.58,1.0,1.0,0.026297961419062165,0.1312250505304556,0.1912693549802762,0.2638998762029903,0.33927533677615246,0.3813285133551458,0.3991036067931729
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,bigram,shuffled_program_bias,200,200,0.03893012697283583,0.0003110190577695639,0.0,0.1,0.185,0.25,0.545,0.74,1.0,0.0003110190577695639,0.0024058428368028536,0.004637169189598417,0.00865258420123708,0.01530321943207036,0.021259157023356286,0.024744653923458673
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,positional_bigram,own_target,200,200,0.06475384334047994,0.015084887316381346,0.005,0.135,0.185,0.35,0.625,0.9,1.0,0.015084887316381346,0.08297495361673876,0.12380956096728526,0.16979724472403604,0.22178070260759652,0.25988094730403755,0.28044500867943745
Qwen/Qwen3-8B,2,atomic_control,,dev_D,D,3,score,positional_bigram,minus_bias_only,200,200,0.10897679833709492,0.026297961419062,0.065,0.2,0.34,0.465,0.58,1.0,1.0,0.026297961419062,0.13122505053045558,0.19126935498027656,0.26389987620299116,0.33927533677615357,0.38132851335514695,0.3991036067931739
