split,depth,k,atomic_control,composition,delta,delta_ci95_low,delta_ci95_high,sign_flip_p
capacity_d3_train,3,54,0.6588888888888889,0.9822222222222222,0.3233333333333333,0.28538750299736565,0.36127916366930096,
capacity_d3_train,3,55,0.6666666666666666,0.9833333333333334,0.31666666666666665,0.28354483050999557,0.34978850282333773,
capacity_d3_train,3,56,0.6755555555555555,0.9844444444444443,0.3088888888888889,0.2835916686649105,0.3341861091128673,
capacity_d3_train,3,57,0.6811111111111111,0.9844444444444443,0.30333333333333334,0.27849195621583,0.3281747104508367,
capacity_d3_train,3,58,0.6844444444444444,0.9866666666666667,0.3022222222222222,0.28138352395763633,0.3230609204868081,
capacity_d3_train,3,59,0.6944444444444443,0.9866666666666667,0.2922222222222222,0.2713835239576363,0.3130609204868081,
capacity_d3_train,3,60,0.7033333333333333,0.9866666666666667,0.2833333333333334,0.2689911575675018,0.29767550909916496,
capacity_d3_train,3,61,0.7055555555555556,0.9866666666666667,0.28111111111111114,0.26846250099912194,0.29375972122310035,
capacity_d3_train,3,62,0.7133333333333333,0.9866666666666667,0.2733333333333334,0.2402114971766623,0.30645516949000445,
capacity_d3_train,3,63,0.7200000000000001,0.9866666666666667,0.26666666666666666,0.23681104701656794,0.29652228631676536,
capacity_d3_train,3,64,0.7277777777777777,0.9877777777777778,0.26,0.22390631584213982,0.2960936841578602,
capacity_d3_train,3,65,0.7322222222222222,0.9877777777777778,0.25555555555555554,0.21730975351333812,0.2938013575977729,
capacity_d3_train,3,66,0.7411111111111112,0.9888888888888889,0.2477777777777778,0.22115982607296403,0.27439572948259155,
capacity_d3_train,3,67,0.7533333333333333,0.9888888888888889,0.23555555555555555,0.2147168572909696,0.25639425382014147,
capacity_d3_train,3,68,0.7599999999999999,0.9911111111111112,0.23111111111111113,0.2138739610693036,0.24834826115291866,
capacity_d3_train,3,69,0.7688888888888888,0.9922222222222222,0.22333333333333336,0.2014252979742386,0.2452413686924281,
capacity_d3_train,3,70,0.7766666666666667,0.9922222222222222,0.21555555555555558,0.17306354003088129,0.2580475710802299,
capacity_d3_train,3,71,0.7799999999999999,0.9922222222222222,0.21222222222222223,0.16973020669754796,0.2547142377468965,
capacity_d3_train,3,72,0.7866666666666666,0.9933333333333333,0.20666666666666667,0.1569839124316601,0.25634942090167323,
capacity_d3_train,3,73,0.7922222222222223,0.9955555555555554,0.20333333333333334,0.14537012005915897,0.2612965466075077,
capacity_d3_train,3,74,0.7955555555555556,0.9955555555555554,0.19999999999999998,0.15031724576499336,0.2496827542350066,
capacity_d3_train,3,75,0.8011111111111111,0.9966666666666667,0.19555555555555557,0.15821689767992822,0.2328942134311829,
capacity_d3_train,3,76,0.8044444444444444,0.9977777777777778,0.19333333333333336,0.14951726261514384,0.23714940405152288,
capacity_d3_train,3,77,0.8122222222222222,0.9977777777777778,0.18555555555555556,0.14470902106913322,0.2264020900419779,
capacity_d3_train,3,78,0.818888888888889,0.9977777777777778,0.17888888888888888,0.13108163633611708,0.22669614144166067,
capacity_d3_train,3,79,0.8288888888888888,0.9977777777777778,0.16888888888888887,0.13441458880527377,0.20336318897250397,
capacity_d3_train,3,80,0.831111111111111,0.9977777777777778,0.16666666666666666,0.13798231513500356,0.19535101819832976,
capacity_d3_train,3,81,0.8377777777777777,0.9977777777777778,0.16,0.13809196464090526,0.18190803535909475,
capacity_d3_train,3,82,0.8477777777777779,0.9977777777777778,0.15,0.11390631584213978,0.1860936841578602,
