split,seed,k,n,atomic_control,composition,delta
capacity_d3_train,1,106,300,0.93,1.0,0.07
capacity_d3_train,2,106,300,0.9433333333333334,1.0,0.056666666666666664
capacity_d3_train,0,107,300,0.94,1.0,0.06
capacity_d3_train,1,107,300,0.9433333333333334,1.0,0.056666666666666664
capacity_d3_train,2,107,300,0.9466666666666667,1.0,0.05333333333333334
capacity_d3_train,0,108,300,0.94,1.0,0.06
capacity_d3_train,1,108,300,0.9533333333333334,1.0,0.04666666666666667
capacity_d3_train,2,108,300,0.95,1.0,0.05
capacity_d3_train,0,109,300,0.94,1.0,0.06
capacity_d3_train,1,109,300,0.9566666666666667,1.0,0.043333333333333335
capacity_d3_train,2,109,300,0.9566666666666667,1.0,0.043333333333333335
capacity_d3_train,0,110,300,0.9433333333333334,1.0,0.056666666666666664
capacity_d3_train,1,110,300,0.9566666666666667,1.0,0.043333333333333335
capacity_d3_train,2,110,300,0.96,1.0,0.04
capacity_d3_train,0,111,300,0.9533333333333334,1.0,0.04666666666666667
capacity_d3_train,1,111,300,0.9566666666666667,1.0,0.043333333333333335
capacity_d3_train,2,111,300,0.9666666666666667,1.0,0.03333333333333333
capacity_d3_train,0,112,300,0.9566666666666667,1.0,0.043333333333333335
capacity_d3_train,1,112,300,0.9633333333333334,1.0,0.03666666666666667
capacity_d3_train,2,112,300,0.9666666666666667,1.0,0.03333333333333333
capacity_d3_train,0,113,300,0.9633333333333334,1.0,0.03666666666666667
capacity_d3_train,1,113,300,0.9666666666666667,1.0,0.03333333333333333
capacity_d3_train,2,113,300,0.9666666666666667,1.0,0.03333333333333333
capacity_d3_train,0,114,300,0.97,1.0,0.03
capacity_d3_train,1,114,300,0.9766666666666667,1.0,0.023333333333333334
capacity_d3_train,2,114,300,0.97,1.0,0.03
capacity_d3_train,0,115,300,0.9733333333333334,1.0,0.02666666666666667
capacity_d3_train,1,115,300,0.9833333333333333,1.0,0.016666666666666666
capacity_d3_train,2,115,300,0.97,1.0,0.03
capacity_d3_train,0,116,300,0.98,1.0,0.02
capacity_d3_train,1,116,300,0.9866666666666667,1.0,0.013333333333333334
capacity_d3_train,2,116,300,0.98,1.0,0.02
capacity_d3_train,0,117,300,0.98,1.0,0.02
capacity_d3_train,1,117,300,0.9866666666666667,1.0,0.013333333333333334
capacity_d3_train,2,117,300,0.9833333333333333,1.0,0.016666666666666666
capacity_d3_train,0,118,300,0.9833333333333333,1.0,0.016666666666666666
capacity_d3_train,1,118,300,0.99,1.0,0.01
capacity_d3_train,2,118,300,0.9833333333333333,1.0,0.016666666666666666
capacity_d3_train,0,119,300,0.99,1.0,0.01
capacity_d3_train,1,119,300,0.99,1.0,0.01
capacity_d3_train,2,119,300,0.9833333333333333,1.0,0.016666666666666666
capacity_d3_train,0,120,300,0.9933333333333333,1.0,0.006666666666666667
capacity_d3_train,1,120,300,0.9933333333333333,1.0,0.006666666666666667
capacity_d3_train,2,120,300,0.9866666666666667,1.0,0.013333333333333334
capacity_d3_train,0,121,300,0.9933333333333333,1.0,0.006666666666666667
capacity_d3_train,1,121,300,0.9966666666666667,1.0,0.0033333333333333335
capacity_d3_train,2,121,300,0.9933333333333333,1.0,0.006666666666666667
capacity_d3_train,0,122,300,0.9933333333333333,1.0,0.006666666666666667
capacity_d3_train,1,122,300,0.9966666666666667,1.0,0.0033333333333333335
capacity_d3_train,2,122,300,0.9933333333333333,1.0,0.006666666666666667
capacity_d3_train,0,123,300,0.9966666666666667,1.0,0.0033333333333333335
capacity_d3_train,1,123,300,0.9966666666666667,1.0,0.0033333333333333335
capacity_d3_train,2,123,300,0.9966666666666667,1.0,0.0033333333333333335
capacity_d3_train,0,124,300,0.9966666666666667,1.0,0.0033333333333333335
capacity_d3_train,1,124,300,1.0,1.0,0.0
capacity_d3_train,2,124,300,1.0,1.0,0.0
capacity_d3_train,0,125,300,1.0,1.0,0.0
capacity_d3_train,1,125,300,1.0,1.0,0.0
capacity_d3_train,2,125,300,1.0,1.0,0.0
capacity_d3_heldout,0,1,300,0.013333333333333334,0.13333333333333333,0.12
capacity_d3_heldout,1,1,300,0.016666666666666666,0.17666666666666667,0.16
capacity_d3_heldout,2,1,300,0.006666666666666667,0.12333333333333334,0.11666666666666667
capacity_d3_heldout,0,2,300,0.02,0.21333333333333335,0.19333333333333333
capacity_d3_heldout,1,2,300,0.02666666666666667,0.2833333333333333,0.25666666666666665
capacity_d3_heldout,2,2,300,0.016666666666666666,0.21333333333333335,0.19666666666666666
capacity_d3_heldout,0,3,300,0.03333333333333333,0.2866666666666667,0.25333333333333335
capacity_d3_heldout,1,3,300,0.04,0.36333333333333334,0.3233333333333333
capacity_d3_heldout,2,3,300,0.02666666666666667,0.2833333333333333,0.25666666666666665
capacity_d3_heldout,0,4,300,0.05,0.34,0.29
capacity_d3_heldout,1,4,300,0.04666666666666667,0.41333333333333333,0.36666666666666664
