replicate,arm,task_id,task_fingerprint,best_rank,correct_programs,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
0,atomic_control,s4c-0d73bdd34c6f1105dcfa0fc5,0d73bdd34c6f1105dcfa0fc50280d905e947f587366da9e8a2f51264451affe9,56,1,0.10154987851879115,1.1068851268056643,3.5788221409543856e-10,-0.0
0,atomic_control,s4c-0e81d5223682a7f6b56c9764,0e81d5223682a7f6b56c97645cad46b959a714d866e2d027b1aa455f59de9890,2,1,0.49155881147418257,1.6348626774164592,0.04025326045377391,-0.0
0,atomic_control,s4c-0ee2049aba468b276dad94f1,0ee2049aba468b276dad94f12db8d9a979a95e2ce43c8e8c134476691e3abb29,17,1,1.4738635872209742,4.366071293403084,8.810657871042892e-07,-0.0
0,atomic_control,s4c-0ef2f5428218a827254a94bb,0ef2f5428218a827254a94bb2a6750b9e5d9a858722bd0c95c5c05d3c1ad4c1d,51,1,1.2595750950104097,3.523923836387211,2.422652158125562e-10,-0.0
0,atomic_control,s4c-0ef3f84b022a37df3cad6236,0ef3f84b022a37df3cad62366d9f4b165a7ec405654895c4afd64a659f78fe5d,48,3,0.8399398937155294,2.3162277527528086,3.099528879040991e-09,0.04072798798402639
0,atomic_control,s4c-0f2db26920f94e003224afa4,0f2db26920f94e003224afa46f66b296627a54e1f0bf29b83b96094517aaf940,38,1,0.5641552001485771,1.7579620291669402,9.836675176728924e-08,-0.0
0,atomic_control,s4c-0f710017576c7798e1cf8918,0f710017576c7798e1cf891856ea9c566729fb1416ad2571c819eb7752393faf,30,3,1.6905794906660903,5.422622153747051,2.802234087037255e-06,0.22189942688594186
0,atomic_control,s4c-0fb5b06aaa5a970ad14602b4,0fb5b06aaa5a970ad14602b4b1d43ea0fd6290e9b011d1839268f4ae01fb9bd0,41,1,1.3254347080473008,3.7638211627728073,5.94158194715905e-09,-0.0
0,atomic_control,s4c-0fd16e606c145717856676d1,0fd16e606c145717856676d1f09d0956835f6fb248858db81809dcc769bd5b22,69,1,1.568252278123961,4.798254846331443,2.5656576919527787e-12,-0.0
0,atomic_control,s4c-0fd933df42e57344ef18e9c5,0fd933df42e57344ef18e9c504144be0a431463b4303588a3c6dfd8ff167c564,7,1,0.6468127096633134,1.9094451637279783,0.00037097550778469245,-0.0
